"","zipcode","pop.total","pop.white","owner.occupied","renter.occupied","median.household.income","borough"
"116","11229",80554,60735,12992,17607,37812,"brooklyn"
"117","11230",88933,64939,8580,22959,32327,"brooklyn"
"118","11231",32974,20645,3334,11638,45154,"brooklyn"
"119","11232",27723,12123,1854,6638,28395,"brooklyn"
"120","11233",61955,2245,4396,17863,22754,"brooklyn"
"121","11234",86898,50830,19539,11674,51446,"brooklyn"
"122","11235",77451,59438,10437,21692,31013,"brooklyn"
"123","11236",96301,16422,14607,17123,42370,"brooklyn"
"124","11238",48965,8551,4753,16351,39917,"brooklyn"
"125","11239",14620,5550,176,6231,16919,"brooklyn"
"126","11354",54329,22387,7647,11940,37155,"queens"
"127","11355",83281,22511,8471,20168,36973,"queens"
"128","11356",20444,14169,3713,3522,48738,"queens"
"129","11357",39491,32846,11203,4183,54910,"queens"
"130","11358",38647,24961,7943,6186,51242,"queens"
"131","11360",19350,15126,5969,2908,58803,"queens"
"132","11361",29206,19160,6073,5011,55250,"queens"
"133","11362",17502,12452,5637,1388,61053,"queens"
"134","11363",6917,5075,1863,789,67550,"queens"
"135","11364",34539,20773,9166,4386,54031,"queens"
"136","11365",41566,22101,6927,8948,50744,"queens"
"137","11366",13366,6597,3308,1229,62325,"queens"
"138","11367",38216,23356,6489,8053,45285,"queens"
"139","11368",98841,35615,5757,21845,34746,"queens"
"140","11369",36110,10377,5845,5227,39936,"queens"
"141","11370",43142,17500,4581,5419,44429,"queens"
"142","11372",71308,35617,6659,18217,39084,"queens"
"143","11373",105723,35598,8798,24291,38151,"queens"
"144","11374",44189,29093,6689,12876,40998,"queens"
"145","11375",70204,50057,13495,19761,51350,"queens"
"146","11377",88339,38033,8635,22964,37360,"queens"
"147","11378",34053,27891,6530,6566,43107,"queens"
"148","11379",28984,25952,6577,5142,49083,"queens"
"149","11385",97524,63729,10657,24195,36434,"queens"
"150","11411",21282,623,5474,1175,62071,"queens"
"151","11412",37452,651,8266,3299,48536,"queens"
"152","11413",39827,1095,9266,3223,56726,"queens"
"153","11414",28121,26016,7870,3442,51175,"queens"
"154","11415",20956,13869,2076,6508,45344,"queens"
"155","11416",23668,10107,3190,4149,39692,"queens"
"156","11417",28607,14991,5172,4258,42889,"queens"
"157","11418",36571,14891,4410,6832,40924,"queens"
"158","11419",48867,8935,7096,6255,43066,"queens"
"159","11420",45498,9479,8830,4438,47584,"queens"
"160","11421",37664,18054,6277,5897,44550,"queens"
"161","11422",30449,3935,6494,2927,58396,"queens"
"162","11423",31240,5564,5660,3944,46047,"queens"
"163","11426",18727,11563,4668,1639,58065,"queens"
"164","11427",23014,7885,4722,2988,51336,"queens"
"165","11428",21023,5626,4149,1831,55219,"queens"
"166","11429",27647,1487,5414,2399,54467,"queens"
"167","11432",57045,15472,6648,11553,42414,"queens"
"168","11433",28435,742,4406,4694,31869,"queens"
"169","11434",59142,1357,10188,9856,43133,"queens"
"170","11435",53877,14393,6079,11543,40157,"queens"
"171","11436",18148,325,3871,1664,40194,"queens"
"172","11691",56184,16841,4257,13938,27820,"queens"
"173","11692",15893,2378,1473,3533,29059,"queens"
"174","11693",11157,6606,1934,2246,37248,"queens"
"175","11694",19278,16832,3566,4281,48604,"queens"
"176","11697",4226,4194,1753,43,58491,"queens"
